term,description
NHP,National Historical Park
NP,National Park
NM,National Monument
NRA,National Recreation Area
NM & PRES,National Monument and Preserve
NMEM,National Memorial
NHS,National Historic Site
MEM,Memorial
NS,National Seashore
NB,National Battlefield
NPRES,National Preserve
NRRA,National River and Recreation Area
PKWY,Parkway
NSR,National Scenic River
NBS,National Battlefield Site
NMP,National Military Park
NRES,National Reserve
NP & PRES,National Park & Preserve
NM & HS,National Monument and Historic Shrine
MEM PKWY,Memorial Parkway
NHP & PRES,National Historical Park and Preserve
NEM,National Expansion Memorial
NBP,National Battlefield Park
NRR,National Recreational River
NR,National River
W & RS,Wild and Scenic River
NL,National Lakeshore
NHP & Ecological Pres,National Historical Park Ecological Preserve
EHP,Ecological & Historic Preserve
S&RR,Scenic & Recreational River
IHS,International Historic Site
P,Park
